iShares Russell 3000 ETF
Fund Holdings as of,"Feb 02, 2024"
Inception Date,"May 22, 2000"
Shares Outstanding,"46,000,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"DUK","DUKE ENERGY CORP","Utilities","Equity","20,067,450.76","0.15","20,067,450.76","208,558.00","96.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CME","CME GROUP INC CLASS A","Financials","Equity","20,024,815.95","0.15","20,024,815.95","96,949.00","206.55","United States","NASDAQ","USD","1.00","USD","-"
"MO","ALTRIA GROUP INC","Consumer Staples","Equity","19,945,239.60","0.15","19,945,239.60","482,235.00","41.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SHW","SHERWIN WILLIAMS","Materials","Equity","19,927,397.16","0.15","19,927,397.16","64,284.00","309.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ICE","INTERCONTINENTAL EXCHANGE INC","Financials","Equity","19,647,470.70","0.15","19,647,470.70","152,661.00","128.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSX","CSX CORP","Industrials","Equity","19,551,550.07","0.15","19,551,550.07","535,219.00","36.53","United States","NASDAQ","USD","1.00","USD","-"
"SLB","SCHLUMBERGER NV","Energy","Equity","18,845,988.00","0.14","18,845,988.00","384,612.00","49.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CL","COLGATE-PALMOLIVE","Consumer Staples","Equity","18,785,386.14","0.14","18,785,386.14","221,997.00","84.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SNOW","SNOWFLAKE CLASS A","Information Technology","Equity","18,651,915.12","0.14","18,651,915.12","85,262.00","218.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BDX","BECTON DICKINSON","Health Care","Equity","18,630,562.93","0.14","18,630,562.93","78,547.00","237.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
